"","team_key","date","stat_id","IP","year","stat_name","IP_round","ERA","run_per_inning","run_per_out","true_ERA"
"223","346.l.49099.t.7",16548,50,2,2015,"IP",2,0,0,0,1.62
"224","346.l.49099.t.8",16548,50,26,2015,"IP",26,3.12,0.346666666666667,0.115555555555556,1.62
"225","346.l.49099.t.9",16548,50,14,2015,"IP",14,2.57,0.285555555555556,0.0951851851851852,1.62
"226","346.l.49099.t.10",16548,50,1,2015,"IP",1,0,0,0,1.62
"227","346.l.49099.t.11",16548,50,9,2015,"IP",9,1,0.111111111111111,0.037037037037037,1.62
"228","346.l.49099.t.12",16548,50,1,2015,"IP",1,0,0,0,1.62
"229","346.l.49099.t.1",16549,50,24,2015,"IP",24,3.75,0.416666666666667,0.138888888888889,1.62
"230","346.l.49099.t.2",16549,50,13.333,2015,"IP",14,2.7,0.3,0.1,1.62
"231","346.l.49099.t.3",16549,50,1.333,2015,"IP",2,0,0,0,1.62
"232","346.l.49099.t.4",16549,50,6.667,2015,"IP",7,0,0,0,1.62
"233","346.l.49099.t.5",16549,50,23.667,2015,"IP",24,1.9,0.211111111111111,0.0703703703703704,1.62
"234","346.l.49099.t.6",16549,50,8,2015,"IP",8,2.25,0.25,0.0833333333333333,1.62
"235","346.l.49099.t.7",16549,50,NA,2015,"IP",12,0.75,0.0833333333333333,0.0277777777777778,1.62
"236","346.l.49099.t.8",16549,50,7,2015,"IP",7,10.29,1.14333333333333,0.381111111111111,1.62
"237","346.l.49099.t.9",16549,50,NA,2015,"IP",23,1.99,0.221111111111111,0.0737037037037037,1.62
"238","346.l.49099.t.10",16549,50,3,2015,"IP",3,0,0,0,1.62
"239","346.l.49099.t.11",16549,50,NA,2015,"IP",13,8.53,0.947777777777778,0.315925925925926,1.62
"240","346.l.49099.t.12",16549,50,3,2015,"IP",3,0,0,0,1.62
"241","346.l.49099.t.1",16550,50,2,2015,"IP",2,0,0,0,1.62
"242","346.l.49099.t.2",16550,50,4.667,2015,"IP",5,11.57,1.28555555555556,0.428518518518519,1.62
"243","346.l.49099.t.3",16550,50,10.667,2015,"IP",11,2.53,0.281111111111111,0.0937037037037037,1.62
"244","346.l.49099.t.4",16550,50,NA,2015,"IP",12,3.18,0.353333333333333,0.117777777777778,1.62
"245","346.l.49099.t.5",16550,50,0.333,2015,"IP",1,54,6,2,1.62
"246","346.l.49099.t.6",16550,50,9,2015,"IP",9,2,0.222222222222222,0.0740740740740741,1.62
"247","346.l.49099.t.7",16550,50,5,2015,"IP",5,0,0,0,1.62
"248","346.l.49099.t.8",16550,50,1.667,2015,"IP",2,5.4,0.6,0.2,1.62
"249","346.l.49099.t.9",16550,50,7,2015,"IP",7,7.71,0.856666666666667,0.285555555555556,1.62
"250","346.l.49099.t.10",16550,50,6,2015,"IP",6,6,0.666666666666667,0.222222222222222,1.62
"251","346.l.49099.t.11",16550,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"252","346.l.49099.t.12",16550,50,6.667,2015,"IP",7,13.5,1.5,0.5,1.62
"253","346.l.49099.t.1",16551,50,7,2015,"IP",7,7.71,0.856666666666667,0.285555555555556,1.62
"254","346.l.49099.t.2",16551,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"255","346.l.49099.t.3",16551,50,6.333,2015,"IP",7,9.95,1.10555555555556,0.368518518518518,1.62
"256","346.l.49099.t.4",16551,50,NA,2015,"IP",12,3.86,0.428888888888889,0.142962962962963,1.62
"257","346.l.49099.t.5",16551,50,NA,2015,"IP",11,0,0,0,1.62
"258","346.l.49099.t.6",16551,50,1,2015,"IP",1,0,0,0,1.62
"259","346.l.49099.t.7",16551,50,NA,2015,"IP",11,5.73,0.636666666666667,0.212222222222222,1.62
"260","346.l.49099.t.8",16551,50,10.667,2015,"IP",11,5.06,0.562222222222222,0.187407407407407,1.62
"261","346.l.49099.t.9",16551,50,2,2015,"IP",2,0,0,0,1.62
"262","346.l.49099.t.10",16551,50,2,2015,"IP",2,0,0,0,1.62
"263","346.l.49099.t.11",16551,50,16,2015,"IP",16,1.69,0.187777777777778,0.0625925925925926,1.62
"264","346.l.49099.t.12",16551,50,8.333,2015,"IP",9,0,0,0,1.62
"265","346.l.49099.t.1",16552,50,2,2015,"IP",2,0,0,0,1.62
"266","346.l.49099.t.2",16552,50,9,2015,"IP",9,4,0.444444444444444,0.148148148148148,1.62
"267","346.l.49099.t.3",16552,50,13.333,2015,"IP",14,4.05,0.45,0.15,1.62
"268","346.l.49099.t.4",16552,50,5.333,2015,"IP",6,8.44,0.937777777777778,0.312592592592593,1.62
"269","346.l.49099.t.5",16552,50,2.333,2015,"IP",3,3.86,0.428888888888889,0.142962962962963,1.62
"270","346.l.49099.t.6",16552,50,7.667,2015,"IP",8,4.7,0.522222222222222,0.174074074074074,1.62
"271","346.l.49099.t.7",16552,50,8,2015,"IP",8,3.38,0.375555555555556,0.125185185185185,1.62
"272","346.l.49099.t.8",16552,50,9,2015,"IP",9,1,0.111111111111111,0.037037037037037,1.62
"273","346.l.49099.t.9",16552,50,1,2015,"IP",1,0,0,0,1.62
"274","346.l.49099.t.10",16552,50,19,2015,"IP",19,5.68,0.631111111111111,0.21037037037037,1.62
